"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 12 14:08:44 GMT 2023","Fri May 12 14:08:47 GMT 2023","2955","","test.MyOwnTest","","test.MyOwnTest","xCar","xCar()",""
"broken","Fri May 12 14:08:47 GMT 2023","Fri May 12 14:08:48 GMT 2023","1154","","test.HomeWorkTest","","test.HomeWorkTest","hotels","hotels()",""
